name,url
Automobiles & Auto Components,sector/20/automobiles-auto-components/
Banking and Finance,sector/21/banking-and-finance/
Cement and Construction ,sector/26/cement-and-construction/
Chemicals & Petrochemicals,sector/2/chemicals-petrochemicals/
Commercial Services & Supplies,sector/25/commercial-services-supplies/
Consumer Durables,sector/23/consumer-durables/
Diversified,sector/11/diversified/
Diversified Consumer Services,sector/15/diversified-consumer-services/
Fertilizers,sector/27/fertilizers/
FMCG,sector/7/fmcg/
Food Beverages & Tobacco,sector/4/food-beverages-tobacco/
Forest Materials,sector/16/forest-materials/
General Industrials,sector/24/general-industrials/
Hardware Technology & Equipment,sector/5/hardware-technology-equipment/
Healthcare Equipment & Supplies,sector/29/healthcare-equipment-supplies/
Hotels Restaurants & Tourism,sector/30/hotels-restaurants-tourism/
Media,sector/3/media/
Metals & Mining,sector/13/metals-mining/
Oil & Gas,sector/12/oil-gas/
Others,sector/14/others/
Pharmaceuticals & Biotechnology,sector/17/pharmaceuticals-biotechnology/
Realty,sector/18/realty/
Retailing,sector/6/retailing/
Software & Services,sector/1/software-services/
Telecom Services,sector/10/telecom-services/
Telecommunications Equipment,sector/22/telecommunications-equipment/
Textiles Apparels & Accessories,sector/8/textiles-apparels-accessories/
Transportation,sector/9/transportation/
Utilities,sector/28/utilities/
