name,url
Bharti Hexacom Ltd.,/equity/2170198/BHARTIHEXA/bharti-hexacom-ltd/
City Online Services Ltd.,/equity/4083/CITYONLINE/city-online-services-ltd/
SAR Televenture Ltd.,/equity/1770397/SARTELE/sar-televenture-ltd/
Mahanagar Telephone Nigam Ltd.,/equity/888/MTNL/mahanagar-telephone-nigam-ltd/
Uniinfo Telecom Services Ltd.,/equity/87825/UNIINFO/uniinfo-telecom-services-ltd/
GTL Ltd.,/equity/504/GTL/gtl-ltd/
Vodafone Idea Ltd.,/equity/589/IDEA/vodafone-idea-ltd/
Suyog Telematics Ltd.,/equity/4007/SUYOG/suyog-telematics-ltd/
RailTel Corporation of India Ltd.,/equity/424520/RAILTEL/railtel-corporation-of-india-ltd/
Indus Towers Ltd.,/equity/629/INDUSTOWER/indus-towers-ltd/
Steelman Telecom Ltd.,/equity/1055952/15140160/steelman-telecom-ltd/
Bharti Airtel Ltd.,/equity/187/BHARTIARTL/bharti-airtel-ltd/
OnMobile Global Ltd.,/equity/975/ONMOBILE/onmobile-global-ltd/
Tata Teleservices (Maharashtra) Ltd.,/equity/1423/TTML/tata-teleservices-maharashtra-ltd/
Bharti Airtel Ltd Partly Paidup,/equity/715100/AIRTELPP/bharti-airtel-ltd-partly-paidup/
Tata Communications Ltd.,/equity/1357/TATACOMM/tata-communications-ltd/
Quadrant Televentures Ltd.,/equity/2427/511116/quadrant-televentures-ltd/
